,starttime,stoptime,start station id,end station id
0,9/1/2015 00:00:00,9/1/2015 00:04:48,263,307
1,9/1/2015 00:00:00,9/1/2015 00:02:45,495,449
2,9/1/2015 00:00:01,9/1/2015 00:06:08,3119,3118
3,9/1/2015 00:00:07,9/1/2015 00:15:34,536,340
4,9/1/2015 00:00:09,9/1/2015 00:11:07,347,483
5,9/1/2015 00:00:13,9/1/2015 00:06:46,2004,254
6,9/1/2015 00:00:49,9/1/2015 00:02:52,173,450
7,9/1/2015 00:00:49,9/1/2015 00:18:41,397,3044
8,9/1/2015 00:00:53,9/1/2015 00:03:44,536,476
9,9/1/2015 00:00:55,9/1/2015 00:19:01,397,3044
10,9/1/2015 00:01:05,9/1/2015 00:04:15,307,412
11,9/1/2015 00:01:06,9/1/2015 00:13:02,3075,364
12,9/1/2015 00:01:37,9/1/2015 00:08:56,361,356
13,9/1/2015 00:01:51,9/1/2015 00:15:55,358,147
14,9/1/2015 00:02:01,9/1/2015 00:16:51,410,3087
15,9/1/2015 00:02:10,9/1/2015 00:27:24,509,494
16,9/1/2015 00:02:09,9/1/2015 00:09:56,2003,474
17,9/1/2015 00:02:10,9/1/2015 00:05:28,450,479
18,9/1/2015 00:02:36,9/1/2015 00:28:15,386,386
19,9/1/2015 00:02:36,9/1/2015 00:11:55,285,382
20,9/1/2015 00:02:50,9/1/2015 00:12:41,479,458
21,9/1/2015 00:03:01,9/1/2015 00:23:49,3133,334
22,9/1/2015 00:03:08,9/1/2015 00:12:53,479,458
23,9/1/2015 00:03:20,9/1/2015 00:28:28,386,386
24,9/1/2015 00:03:21,9/1/2015 00:23:49,3133,334
25,9/1/2015 00:03:25,9/1/2015 00:14:59,2021,500
26,9/1/2015 00:03:26,9/1/2015 00:14:00,495,468
27,9/1/2015 00:04:20,9/1/2015 00:19:06,488,3223
28,9/1/2015 00:04:21,9/1/2015 00:07:15,316,279
29,9/1/2015 00:04:24,9/1/2015 00:15:30,463,72
30,9/1/2015 00:04:30,9/1/2015 00:17:46,274,437
31,9/1/2015 00:04:31,9/1/2015 00:09:49,317,2003
32,9/1/2015 00:04:31,9/1/2015 00:09:22,545,325
33,9/1/2015 00:04:32,9/1/2015 00:17:27,326,116
34,9/1/2015 00:05:05,9/1/2015 00:17:58,274,437
35,9/1/2015 00:05:13,9/1/2015 00:19:55,368,488
36,9/1/2015 00:05:44,9/1/2015 00:09:41,3118,3113
37,9/1/2015 00:05:56,9/1/2015 00:11:08,442,482
38,9/1/2015 00:06:11,9/1/2015 00:08:56,348,161
39,9/1/2015 00:06:32,9/1/2015 00:15:08,386,2008
40,9/1/2015 00:06:49,9/1/2015 00:25:58,3133,545
41,9/1/2015 00:07:04,9/1/2015 00:34:16,539,3058
42,9/1/2015 00:07:18,9/1/2015 00:22:31,347,446
43,9/1/2015 00:07:20,9/1/2015 00:19:15,518,438
44,9/1/2015 00:07:31,9/1/2015 00:14:02,468,515
45,9/1/2015 00:07:32,9/1/2015 00:12:59,528,472
46,9/1/2015 00:07:35,9/1/2015 00:24:26,479,498
47,9/1/2015 00:07:39,9/1/2015 00:23:55,396,481
48,9/1/2015 00:07:57,9/1/2015 00:10:17,294,369
49,9/1/2015 00:07:58,9/1/2015 00:13:58,296,291
50,9/1/2015 00:08:01,9/1/2015 00:16:15,293,545
51,9/1/2015 00:08:08,9/1/2015 00:34:05,539,3058
52,9/1/2015 00:08:10,9/1/2015 00:27:23,539,344
53,9/1/2015 00:08:29,9/1/2015 00:15:34,509,458
54,9/1/2015 00:08:39,9/1/2015 00:13:53,294,325
55,9/1/2015 00:09:05,9/1/2015 00:19:44,515,435
56,9/1/2015 00:09:12,9/1/2015 00:32:46,393,3117
57,9/1/2015 00:09:22,9/1/2015 00:16:16,477,458
58,9/1/2015 00:09:37,9/1/2015 00:13:03,382,383
59,9/1/2015 00:10:35,9/1/2015 00:31:34,212,311
60,9/1/2015 00:11:00,9/1/2015 00:31:13,2021,432
61,9/1/2015 00:11:46,9/1/2015 00:30:06,312,534
62,9/1/2015 00:11:49,9/1/2015 00:21:29,521,537
63,9/1/2015 00:11:56,9/1/2015 00:33:44,487,514
64,9/1/2015 00:12:36,9/1/2015 00:33:31,482,2021
65,9/1/2015 00:12:37,9/1/2015 00:33:30,482,2021
66,9/1/2015 00:12:48,9/1/2015 00:18:50,3110,3115
67,9/1/2015 00:12:50,9/1/2015 00:33:14,405,439
68,9/1/2015 00:12:52,9/1/2015 00:16:37,3093,481
69,9/1/2015 00:12:58,9/1/2015 00:17:39,355,417
70,9/1/2015 00:13:03,9/1/2015 00:22:59,453,474
71,9/1/2015 00:13:04,9/1/2015 00:42:31,325,245
72,9/1/2015 00:13:26,9/1/2015 00:27:56,428,444
73,9/1/2015 00:13:38,9/1/2015 00:29:57,497,479
74,9/1/2015 00:13:47,9/1/2015 00:16:06,507,528
75,9/1/2015 00:13:46,9/1/2015 00:19:24,454,367
76,9/1/2015 00:13:49,9/1/2015 00:25:50,483,331
77,9/1/2015 00:14:00,9/1/2015 00:36:54,160,295
78,9/1/2015 00:13:59,9/1/2015 00:23:02,477,367
79,9/1/2015 00:13:59,9/1/2015 00:28:12,447,173
80,9/1/2015 00:14:00,9/1/2015 00:24:06,3117,3107
81,9/1/2015 00:14:00,9/1/2015 00:21:51,536,326
82,9/1/2015 00:14:03,9/1/2015 00:19:04,308,311
83,9/1/2015 00:14:05,9/1/2015 00:18:01,3093,3104
84,9/1/2015 00:14:17,9/1/2015 01:18:15,280,511
85,9/1/2015 00:14:20,9/1/2015 00:23:59,480,490
86,9/1/2015 00:14:24,9/1/2015 00:27:54,447,173
87,9/1/2015 00:14:43,9/1/2015 00:19:50,3103,471
88,9/1/2015 00:14:45,9/1/2015 00:42:13,387,459
89,9/1/2015 00:14:45,9/1/2015 00:29:09,387,239
90,9/1/2015 00:15:02,9/1/2015 00:42:12,387,459
91,9/1/2015 00:15:02,9/1/2015 00:42:01,387,459
